2025-03-17 14:07:44 | INFO     | conftest             | Logging initialized. Log file: /Users/zaki.sabir/Downloads/agoda/Reports/Logs/20250317.log
2025-03-17 14:07:44 | INFO     | conftest             | Added command-line option: --testParameters
2025-03-17 14:07:44 | INFO     | conftest             | Test session started: /Users/zaki.sabir/Downloads/agoda
2025-03-17 14:07:44 | INFO     | conftest             | Loading test parameters from package.json for test_flight_booking
2025-03-17 14:07:44 | INFO     | conftest             | Loaded 2 parameter sets from package.json
2025-03-17 14:07:44 | INFO     | conftest             | Parametrized test_flight_booking with 2 parameter sets
2025-03-17 14:07:44 | INFO     | conftest             | Creating screenshot directory: /Users/zaki.sabir/Downloads/agoda/Reports/Images/
2025-03-17 14:07:44 | INFO     | conftest             | Cleared 1 existing screenshots from directory
2025-03-17 14:07:44 | INFO     | conftest             | Creating search_url fixture
2025-03-17 14:07:44 | INFO     | conftest             | Launching browser
2025-03-17 14:07:46 | INFO     | conftest             | Browser launched successfully: <Browser type=<BrowserType name=chromium executable_path=/Users/zaki.sabir/Library/Caches/ms-playwright/chromium-1155/chrome-mac/Chromium.app/Contents/MacOS/Chromium> version=133.0.6943.16>
2025-03-17 14:07:46 | INFO     | conftest             | Creating new page for test: test_flight_booking[LHE-JFK-2-1-0-Business]
2025-03-17 14:07:47 | INFO     | conftest             | Page created successfully: <Page url='about:blank'>
2025-03-17 14:07:47 | INFO     | RoundTrip            | RoundTrip page object initialized
2025-03-17 14:07:56 | INFO     | RoundTrip            | Waiting for Agoda image to appear
2025-03-17 14:07:56 | INFO     | RoundTrip            | Agoda image found - website loaded successfully
2025-03-17 14:07:56 | INFO     | RoundTrip            | Clicking on Flights tab
2025-03-17 14:07:56 | INFO     | RoundTrip            | Flights tab clicked
2025-03-17 14:07:56 | INFO     | RoundTrip            | Checking if Flights tab is selected
2025-03-17 14:07:56 | INFO     | RoundTrip            | Selecting round trip option
2025-03-17 14:07:56 | INFO     | RoundTrip            | Round trip option selected
2025-03-17 14:07:56 | INFO     | RoundTrip            | Selecting departure airport: LHE
2025-03-17 14:07:56 | INFO     | RoundTrip            | Setting and verifying Departure airport: LHE
2025-03-17 14:07:57 | INFO     | RoundTrip            | Departure airport set to: LHE
2025-03-17 14:07:58 | INFO     | RoundTrip            | Selecting airport from options: LHE
2025-03-17 14:07:59 | INFO     | RoundTrip            | Found 13 airport options
2025-03-17 14:07:59 | INFO     | RoundTrip            | Found matching airport: AirportAllama Iqbal International AirportLHE
2025-03-17 14:07:59 | INFO     | RoundTrip            | Selected Departure airport: AirportAllama Iqbal International AirportLHE (Code: LHE)
2025-03-17 14:07:59 | INFO     | RoundTrip            | Actual Departure airport: Lahore (LHE) (Code: LHE)
2025-03-17 14:07:59 | INFO     | RoundTrip            | Departure airport selected: LHE
